	1958	3	1958.2027	315.70	314.43	-1	-9.99	-0.99
	1958	4	1958.2877	317.45	315.16	-1	-9.99	-0.99
	1958	5	1958.3699	317.51	314.71	-1	-9.99	-0.99
	1958	6	1958.4548	317.24	315.14	-1	-9.99	-0.99
	1958	7	1958.5370	315.86	315.18	-1	-9.99	-0.99
	1958	8	1958.6219	314.93	316.18	-1	-9.99	-0.99
	1958	9	1958.7068	313.20	316.08	-1	-9.99	-0.99
	1958	10	1958.7890	312.43	315.41	-1	-9.99	-0.99
	1958	11	1958.8740	313.33	315.20	-1	-9.99	-0.99
	1958	12	1958.9562	314.67	315.43	-1	-9.99	-0.99
	1959	1	1959.0411	315.58	315.55	-1	-9.99	-0.99
	1959	2	1959.1260	316.48	315.86	-1	-9.99	-0.99
	1959	3	1959.2027	316.65	315.38	-1	-9.99	-0.99
	1959	4	1959.2877	317.72	315.41	-1	-9.99	-0.99
	1959	5	1959.3699	318.29	315.49	-1	-9.99	-0.99
	1959	6	1959.4548	318.15	316.03	-1	-9.99	-0.99
	1959	7	1959.5370	316.54	315.86	-1	-9.99	-0.99
	1959	8	1959.6219	314.80	316.06	-1	-9.99	-0.99
	1959	9	1959.7068	313.84	316.73	-1	-9.99	-0.99
	1959	10	1959.7890	313.33	316.33	-1	-9.99	-0.99
	1959	11	1959.8740	314.81	316.68	-1	-9.99	-0.99
	1959	12	1959.9562	315.58	316.35	-1	-9.99	-0.99
